Медиана значения функции Швефеля,Мода лучшей итерации,Медиана времени до лучшей итерации,population_size,offspring_ratio,mutation_rate,mutation_strength,mutation_percent_genes,mutation_by_replacement,elite_fraction,initialization_method
0.045553,400,6.377039,236,2.335405,0.332741,0.109397,0.178325,True,0.148622,lhs
0.123748,400,5.252524,219,2.758625,0.130766,0.241606,0.178828,True,0.167160,lhs
0.049604,400,7.506045,370,1.667093,0.472616,0.419518,0.136563,True,0.095559,random
0.012966,400,9.679565,307,2.688013,0.473897,0.414469,0.122009,True,0.116353,lhs
0.063746,400,4.473527,180,2.573558,0.399337,0.318076,0.172963,True,0.144873,lhs
0.016395,400,8.323058,285,2.505881,0.489235,0.140814,0.118023,True,0.095490,random
0.085316,400,7.038055,300,2.221019,0.189832,0.312425,0.158345,True,0.076705,lhs
0.305813,400,2.491020,120,2.661913,0.199934,0.314633,0.123053,True,0.173409,random
0.161952,400,4.584030,190,2.744614,0.196671,0.490349,0.127345,True,0.182316,lhs
0.077716,400,4.976536,199,2.666178,0.246387,0.374235,0.153272,True,0.138311,lhs
0.031893,400,5.156299,198,2.179066,0.487344,0.469433,0.197237,True,0.096702,lhs
1.203024,400,3.179728,197,1.722019,0.106020,0.371618,0.152589,True,0.106256,random
0.079169,400,2.868507,117,2.608258,0.440812,0.131810,0.171066,True,0.075341,random
0.129919,357,5.210969,230,2.702759,0.154466,0.173062,0.111721,True,0.095023,random
0.007330,400,11.640726,369,2.897128,0.450566,0.202174,0.125518,True,0.122547,lhs
0.025319,400,12.591613,430,2.784062,0.202186,0.210996,0.135696,True,0.135407,random
0.029081,400,7.254552,236,2.913034,0.347912,0.435119,0.118707,True,0.160569,lhs
0.046295,400,5.292043,243,1.951692,0.400410,0.489551,0.113450,True,0.152948,lhs
0.037146,400,4.319034,154,2.473531,0.497704,0.176874,0.122508,True,0.090655,lhs
0.052845,400,9.106397,317,2.609254,0.236155,0.191362,0.134220,True,0.186906,random
0.012659,400,12.964108,483,2.204916,0.437827,0.198481,0.123926,True,0.104550,lhs
0.050204,400,5.452566,253,1.867894,0.428395,0.334417,0.179794,True,0.119655,random
0.173398,400,2.140510,100,1.870012,0.455752,0.197684,0.151147,True,0.051635,lhs
0.148847,400,3.022013,142,2.268315,0.223683,0.392644,0.155250,True,0.095908,random
0.047157,400,7.285546,277,2.387494,0.338473,0.122717,0.118656,True,0.072841,random
0.035615,400,7.842551,338,1.901181,0.495118,0.454058,0.139427,True,0.183513,lhs
0.152796,400,2.151509,106,1.837516,0.390096,0.263217,0.144186,True,0.059194,lhs
0.024618,400,6.971216,226,2.685551,0.459602,0.249233,0.151033,True,0.053156,lhs
0.048359,400,9.192050,384,2.158148,0.181542,0.412490,0.195715,True,0.157364,lhs
0.021006,400,8.527650,264,2.973889,0.347237,0.332743,0.195454,True,0.180069,lhs
0.425673,400,3.330017,204,1.517605,0.234978,0.444651,0.112860,True,0.144113,random
0.023683,400,9.205062,331,2.585475,0.293396,0.451092,0.140768,True,0.172310,random
