Медиана значения функции Швефеля,Мода лучшей итерации,Медиана времени до лучшей итерации,num_parents_mating,sol_per_pop,mutation_percent_genes,mutation_num_genes,crossover_type,mutation_type,mutation_by_replacement,random_mutation_min_val,random_mutation_max_val,keep_parents,num_genes
135.57534239715187,100,47.77183508872986,1286,1286,3.659156370013603,5,two_points,swap,False,-8.492505441902573,2.938707373274696,0.15222443591996393,24
29.515434158336575,21,10.721700429916382,251,1859,24.641939538323903,5,scattered,swap,False,-5.09796003963197,9.080771898267779,0.6012264658287055,23
4.497057325012065,99,12.292906761169434,434,434,49.527234997608616,2,uniform,inversion,False,-8.913300054891195,3.565629775398188,0.8297788910331939,20
0.34582155810039694,59,107.88259780406952,1975,2080,26.20657051645453,2,single_point,scramble,True,-3.3377205228746467,7.3207119302748715,0.043207197488570936,28
0.006042050373253005,55,97.73297262191772,1574,2858,26.068416388527346,4,uniform,scramble,False,-1.0967758206057603,9.354036463383606,0.3706664725050204,20
2.1741154577907764,10,3.148733615875244,182,1356,18.56401654768237,5,two_points,inversion,False,-3.8317010506652407,0.20232994601157905,0.7997619894688416,10
0.004623443118362047,12,5.003961443901062,516,2605,6.997393372363468,3,uniform,inversion,True,-2.458430397085235,7.31582377139134,0.01877659917171748,5
6.592971593079255,53,2.3577096462249756,109,109,36.64531169273014,1,two_points,scramble,False,-3.471003614748833,9.650427040286736,0.6014414652926998,16
4564.869001646069,14,24.203362703323364,1052,1052,48.817613436090085,[1 1],single_point,adaptive,True,-4.725158509622953,2.217611771441468,0.93968947661356,23
433.91327728938677,27,48.719475507736206,346,2138,12.661682701168719,[3 1],two_points,adaptive,True,-3.763763296783358,8.90195770310159,0.757187603368064,12
4.169132250400253,16,11.80227255821228,295,2754,37.09899321907657,5,single_point,inversion,False,-6.142065648150973,2.795954620836878,0.6087034224899824,14
118.82719030101407,97,12.992682695388794,135,714,45.73922290214446,4,two_points,random,False,-4.903066165072745,3.194783099168461,0.3922175455942397,16
364.88555815672726,100,5.665341138839722,246,246,30.605799496993455,5,scattered,swap,False,-9.042512924729857,1.6766275231237282,0.8612261308793072,19
0.705645027310311,46,20.99267029762268,789,998,31.252292066004664,2,scattered,inversion,False,-7.650589635548957,4.492824918020123,0.04695593813723564,23
0.008265798578577233,68,100.46733701229095,1575,2786,15.06470141173344,1,two_points,scramble,False,-6.989634514659495,1.7485862480486347,0.9628716645658691,25
0.17869621833256133,10,1.9944912195205688,102,1481,38.315310360329974,1,scattered,inversion,True,-0.724695910243101,1.5669057868164893,0.05993404162218996,8
35.978612549819445,98,24.69862139225006,669,669,27.651990893651853,5,scattered,inversion,False,-9.584171319515555,7.421046287946114,0.8382664800446364,30
0.7297923237820214,100,55.23029017448425,1014,1362,28.890821595098796,[4 1],two_points,adaptive,False,-1.0396574569101116,6.801977891679938,0.24502384197837146,22
2999.0782445949294,17,14.134245872497559,1359,1359,22.06180047052655,[2 1],single_point,adaptive,True,-9.248238611514669,0.3837812349177616,0.4470585743009392,17
0.37412701771017964,43,19.474024295806885,953,1352,1.561153913829487,4,two_points,inversion,True,-9.124201201227066,1.7096878251834058,0.4871943662247771,19
0.013024202320821132,38,15.346658706665039,417,1596,12.684642873756285,2,scattered,random,False,-3.228384712069018,4.528691758762729,0.14149346226531057,6
444.6910798525996,99,169.6083710193634,1117,2643,12.353803196121522,[4 1],uniform,adaptive,True,-7.5121586692900175,0.2852220647725767,0.58709608822229,28
9.176803432084853,100,4.869323015213013,175,175,2.6887874802732403,1,scattered,scramble,False,-9.29275090654292,9.430026775772077,0.09708368523223754,24
0.14367224211491703,18,6.593820214271545,163,1693,15.09476609791307,5,scattered,scramble,True,-5.502949285728969,6.307597620784419,0.062282556799576505,15
36.536693862483844,27,6.234416842460632,259,898,27.085468191918725,5,scattered,swap,False,-5.075815015734106,8.665172261263027,0.056732599666642014,23
0.02589618847400743,20,11.511859774589539,1826,2068,16.603796803298035,5,single_point,inversion,True,-4.950708877704728,6.619348750625412,0.11314986223917678,5
0.145129464027832,74,38.269094705581665,241,1631,12.149965622559833,[4 2],scattered,adaptive,False,-2.557151710364262,7.967701640177845,0.7906422326001985,18
968.3378836657861,4,1.0909748077392578,720,720,40.386762163935835,1,single_point,random,True,-9.22360356848349,0.022215467521758958,0.29537126869879193,7
12.835196611908941,50,32.131298542022705,1115,1783,22.61655546669082,3,single_point,swap,False,-9.794853946438543,4.662692234074313,0.5620064510721797,20
0.19213571072486957,50,16.953724145889282,541,1030,25.657906804821568,2,scattered,inversion,False,-2.892315113245556,8.639564486190888,0.35054318963636344,23
